stop_id;stop_name;lat;lon;seq
S01;Unicef (Esq. Cr. Carb.);42.62238378;-5.594192907;1
S02;Cr. Carbajal (S. Cayetano);42.62632035;-5.59659175;2
S03;Cr. Carbajal (Rda. Residenciales);42.631726;-5.59935981;3
S04;Cr. Carbajal (Fte. S. Cayetano);42.62639732;-5.596763411;4
S05;Cr. Carbajal (Esq. R. Cueza);42.62160208;-5.5929325;5
S06;Río Moruelo (Fte. Nº1);42.62020923;-5.591662879;6
S07;Río Moruelo (Fte. Nº19);42.61908756;-5.593655913;7
S08;Rio Moro, 19;42.6172973;-5.592371342;8
S09;Río Moro, 3;42.61534428;-5.590374718;9
S10;Reyes Leoneses, 35;42.61338472;-5.589088802;10
S11;Reyes Leoneses, 27;42.61103697;-5.58671723;11
S12;Reyes Leoneses (Parque);42.6088956;-5.585899156;12
S13;Reyes Leoneses, 15;42.60730507;-5.584371088;13
S14;R. Leoneses (Junta C y L);42.60250062;-5.579944621;14
S15;R. Leoneses (Fte. Auditorio);42.60246902;-5.579974132;15
S16;C. Sagasta (Fte. Ambulatorio);42.59907975;-5.580324078;16
S17;República Argentina, 41;42.59570256;-5.575937269;17
S18;República Argentina, 7;42.59474198;-5.573149255;18
S19;Jardín de San Francisco;42.59382894;-5.571626176;19
S20;A. Miguel Castaño, 20;42.59286409;-5.567927826;20
S21;A. Miguel Castaño, 46;42.5916391;-5.564925916;21
S22;Pendón de Baeza, 29;42.59140129;-5.562661634;22
S23;Moisés León (Telefónica);42.5918736;-5.561023546;23
S24;Moisés León (Fte. Bloque 7);42.59346843;-5.559423037;24
S25;Pendón de Baeza, 4;42.59296895;-5.561134931;25
S26;Pendón de Baeza, 22;42.59165426;-5.562550628;26
S27;Octavio Alvarez Carballo, 13;42.59122676;-5.565781349;27
S28;Octavio A. Carballo (C. Inglés);42.59116268;-5.56915205;28
S29;Independencia (Fte. Correos);42.59472657;-5.570546429;29
S30;Santo Domingo (BBVA);42.59825922;-5.571609182;30
S31;Padre Isla, 36;42.60104919;-5.574296135;31
S32;Padre Isla, 52;42.60315439;-5.576165518;32
S33;Padre Isla, 86;42.60533541;-5.578104177;33
S34;Padre Isla, 132;42.60798131;-5.580511304;34
S35;Santos Ovejeros (Fte. 23);42.60889829;-5.584947915;35
S36;Reyes Leoneses, 40;42.61144129;-5.586643789;36
S37;Reyes Leoneses, 50;42.61322489;-5.588535148;37
S38;Ejército del Aire, 12;42.61495682;-5.591664217;38
S39;Ejército del Aire, 30;42.61683823;-5.593461913;39
S40;Ejército del Aire (Fte. Nº 47);42.61947151;-5.595935266;40
S41;Ejército del Aire, 70;42.62102406;-5.596709288;41
