id_tramo;lat1;lon1;lat2;lon2;vel_max
1;42.5979094;-5.5719003;42.5979386;-5.571797;30
2;42.5964326;-5.5775734;42.5964635;-5.5775854;30
3;42.5964635;-5.5775854;42.596509;-5.5776175;30
4;42.596509;-5.5776175;42.5965474;-5.5776637;30
5;42.5965474;-5.5776637;42.5965654;-5.5776941;30
6;42.5965654;-5.5776941;42.5965754;-5.5777188;30
7;42.5965754;-5.5777188;42.5965833;-5.5777415;30
8;42.5965252;-5.5781705;42.5965086;-5.5782335;30
9;42.5965086;-5.5782335;42.5964816;-5.5782896;30
10;42.5964816;-5.5782896;42.5964714;-5.5783048;30
11;42.5964714;-5.5783048;42.5964435;-5.5783396;30
12;42.5964435;-5.5783396;42.5964102;-5.5783641;30
13;42.5964102;-5.5783641;42.5963554;-5.578387;30
14;42.5961221;-5.5781888;42.5961135;-5.5781202;30
15;42.5961135;-5.5781202;42.596113;-5.5780771;30
16;42.596113;-5.5780771;42.5961166;-5.5780292;30
17;42.5962107;-5.5777124;42.5962305;-5.5776699;30
18;42.5962305;-5.5776699;42.5962679;-5.5776222;30
19;42.5962679;-5.5776222;42.5963128;-5.5775884;30
20;42.5963128;-5.5775884;42.5962411;-5.5774221;30
21;42.5962411;-5.5774221;42.5961473;-5.577137;30
22;42.5961473;-5.577137;42.5959548;-5.5765622;30
23;42.5959548;-5.5765622;42.5958708;-5.5763086;30
24;42.5963128;-5.5775884;42.5963623;-5.5775704;30
25;42.5963623;-5.5775704;42.5964136;-5.5775694;30
26;42.5964136;-5.5775694;42.5964326;-5.5775734;30
27;42.5965833;-5.5777415;42.5965931;-5.5777813;30
28;42.5965931;-5.5777813;42.5965995;-5.5778477;30
29;42.5965995;-5.5778477;42.5965986;-5.5778778;30
30;42.5939486;-5.5705407;42.5939828;-5.570541;30
31;42.5939486;-5.5705407;42.5939646;-5.5706478;30
32;42.5939646;-5.5706478;42.5939733;-5.5707451;30
33;42.5939733;-5.5707451;42.5939736;-5.5708353;30
34;42.5968902;-5.5716165;42.5968224;-5.5715654;30
35;42.5968902;-5.5716165;42.5969612;-5.5716662;30
36;42.5969612;-5.5716662;42.5969939;-5.5716879;30
37;42.5969939;-5.5716879;42.5974348;-5.5719931;30
38;42.5977881;-5.5722097;42.5977978;-5.5721594;10
39;42.5977881;-5.5722097;42.5977662;-5.572202;30
40;42.5977662;-5.572202;42.597741;-5.5721877;30
41;42.5959882;-5.5710642;42.5961906;-5.5711591;30
42;42.5961906;-5.5711591;42.5963011;-5.5712204;30
43;42.5968224;-5.5715654;42.5968902;-5.5716165;30
44;42.5968224;-5.5715654;42.596725;-5.5715576;30
45;42.596725;-5.5715576;42.5964854;-5.571621;30
46;42.6013504;-5.5809388;42.6012811;-5.5808787;30
47;42.6013504;-5.5809388;42.6012737;-5.5811394;30
48;42.6012737;-5.5811394;42.6011282;-5.5815356;30
49;42.6011282;-5.5815356;42.6011031;-5.5815865;30
50;42.6011031;-5.5815865;42.601078;-5.5816249;30
51;42.601078;-5.5816249;42.6010166;-5.5816951;30
52;42.6010166;-5.5816951;42.6009372;-5.5817397;30
53;42.6009372;-5.5817397;42.6008652;-5.5817586;30
54;42.6008652;-5.5817586;42.6007859;-5.5817518;30
55;42.6007859;-5.5817518;42.6007257;-5.5817241;30
56;42.6007257;-5.5817241;42.6006623;-5.5816808;30
57;42.6006623;-5.5816808;42.600385;-5.5814315;30
58;42.6018294;-5.5750922;42.6018453;-5.5750189;30
59;42.6018453;-5.5750189;42.6018489;-5.5750025;30
60;42.6018489;-5.5750025;42.6018546;-5.5748885;30
61;42.6018294;-5.5750922;42.6016722;-5.5749471;30
62;42.6016722;-5.5749471;42.6016475;-5.5749243;30
63;42.6016475;-5.5749243;42.6012953;-5.5746225;30
64;42.6018294;-5.5750922;42.6019285;-5.5751747;30
65;42.6019285;-5.5751747;42.6020233;-5.5752485;30
66;42.6020233;-5.5752485;42.6026929;-5.5758592;30
67;42.6046247;-5.5775683;42.6047773;-5.5776926;30
68;42.6046247;-5.5775683;42.6045638;-5.5771662;30
69;42.6002182;-5.5736223;42.6002865;-5.5736849;30
70;42.6002865;-5.5736849;42.6005847;-5.5739647;30
71;42.6005847;-5.5739647;42.6010735;-5.5744213;30
72;42.6010735;-5.5744213;42.6010886;-5.5744343;30
73;42.6010886;-5.5744343;42.6011436;-5.5744831;30
74;42.6011436;-5.5744831;42.6012388;-5.5745675;30
75;42.6012388;-5.5745675;42.6012953;-5.5746225;30
76;42.5912029;-5.5634418;42.591469;-5.5639748;30
77;42.5919399;-5.5653973;42.5919726;-5.5654881;30
78;42.5919399;-5.5653973;42.5918268;-5.5652035;30
79;42.5918268;-5.5652035;42.5916852;-5.564944;30
80;42.5916852;-5.564944;42.5915874;-5.5647823;30
81;42.5915874;-5.5647823;42.5914613;-5.5645799;30
82;42.5914613;-5.5645799;42.5914433;-5.5645511;30
83;42.5914433;-5.5645511;42.5914256;-5.5645181;30
84;42.5914256;-5.5645181;42.5913683;-5.5644329;30
85;42.5958708;-5.5763086;42.5956924;-5.5757919;30
86;42.5956924;-5.5757919;42.5956283;-5.5756062;30
87;42.5956283;-5.5756062;42.5954679;-5.5751418;30
88;42.5954679;-5.5751418;42.5953794;-5.5748853;30
89;42.6124612;-5.5876935;42.6125548;-5.5878331;30
90;42.6125548;-5.5878331;42.6130181;-5.5884011;30
91;42.6124612;-5.5876935;42.6124357;-5.5877678;50
92;42.6124357;-5.5877678;42.6124134;-5.5878025;50
93;42.6124134;-5.5878025;42.6123882;-5.5878278;50
94;42.6123882;-5.5878278;42.6123515;-5.5878524;50
95;42.6123515;-5.5878524;42.6123017;-5.5878726;50
96;42.6123017;-5.5878726;42.6122758;-5.5878735;50
97;42.6122758;-5.5878735;42.6122454;-5.5878719;50
98;42.6122454;-5.5878719;42.6121894;-5.5878464;50
99;42.6121894;-5.5878464;42.612167;-5.5878292;50
100;42.612167;-5.5878292;42.6121426;-5.5878006;50
101;42.6121426;-5.5878006;42.6121224;-5.5877635;50
102;42.6121224;-5.5877635;42.6121028;-5.5877081;50
103;42.6121028;-5.5877081;42.6120923;-5.5876399;50
104;42.6120923;-5.5876399;42.6120913;-5.5875785;50
105;42.6120913;-5.5875785;42.6120034;-5.5874446;30
106;42.6120913;-5.5875785;42.6121038;-5.5875213;50
107;42.6121038;-5.5875213;42.6121382;-5.5874498;50
108;42.6121382;-5.5874498;42.61218;-5.5874091;50
109;42.61218;-5.5874091;42.6122301;-5.587375;50
110;42.6122301;-5.587375;42.6122733;-5.5873694;50
111;42.6122733;-5.5873694;42.6123213;-5.5873769;50
112;42.6123213;-5.5873769;42.6123669;-5.5873986;50
113;42.6123669;-5.5873986;42.6123997;-5.5874298;50
114;42.6123997;-5.5874298;42.612428;-5.5874705;50
115;42.612428;-5.5874705;42.6124392;-5.5874976;50
116;42.6124392;-5.5874976;42.6124603;-5.5875561;50
117;42.6124603;-5.5875561;42.6124672;-5.5876255;50
118;42.6124672;-5.5876255;42.6124612;-5.5876935;50
119;42.6139767;-5.589616;42.6138991;-5.589552;30
120;42.6138991;-5.589552;42.6136662;-5.5893127;30
121;42.6139767;-5.589616;42.6139962;-5.5895597;30
122;42.6139962;-5.5895597;42.6140245;-5.5895175;30
123;42.6140245;-5.5895175;42.6140597;-5.5894798;30
124;42.6140597;-5.5894798;42.614112;-5.5894556;30
125;42.614112;-5.5894556;42.6141392;-5.5894497;30
126;42.6141392;-5.5894497;42.6141673;-5.5894523;30
127;42.6141673;-5.5894523;42.6141977;-5.5894579;30
128;42.6141977;-5.5894579;42.6142281;-5.5894714;30
129;42.6142281;-5.5894714;42.6142504;-5.5894992;30
130;42.6142504;-5.5894992;42.6142727;-5.5895306;30
131;42.6142727;-5.5895306;42.6142904;-5.5895634;30
132;42.6142904;-5.5895634;42.6143044;-5.5895974;30
133;42.6143044;-5.5895974;42.6143132;-5.5896373;30
134;42.6143132;-5.5896373;42.6143185;-5.5896808;30
135;42.6143185;-5.5896808;42.6143163;-5.5897244;30
136;42.6143163;-5.5897244;42.6143096;-5.589768;30
137;42.6143096;-5.589768;42.6142915;-5.5898126;30
138;42.6142915;-5.5898126;42.6142708;-5.5898487;30
139;42.6130181;-5.5884011;42.613195;-5.5885767;30
140;42.613195;-5.5885767;42.613481;-5.5888786;30
